latitude,longitude,measured_on,depth level (cm),maximum temp (deg C),minimum temp (deg C),average temp (deg C)
41.6065,-93.6956,01-07-2013,5,41.1,10,27.6
41.6065,-93.6956,01-07-2013,10,34.4,0,23
41.6065,-93.6956,01-07-2013,50,28.3,0,23.3
41.6065,-93.6956,01-08-2013,5,41.1,16.7,27.8
41.6065,-93.6956,01-08-2013,10,27.2,20.6,23.6
41.6065,-93.6956,01-08-2013,50,28.3,10,23.9
41.6065,-93.6956,01-09-2013,5,40,10,23.5
41.6065,-93.6956,01-09-2013,10,26.1,10,20.9
41.6065,-93.6956,01-09-2013,50,26.7,10,21.2
41.6065,-93.6956,01-10-2013,5,27.8,1.7,13.2
41.6065,-93.6956,01-10-2013,10,20,7.2,13.3
41.6065,-93.6956,01-10-2013,50,20.6,7.2,13.5
41.6065,-93.6956,01-11-2013,5,12.8,-3.3,3.7
41.6065,-93.6956,01-11-2013,10,11.1,1.7,5.4
41.6065,-93.6956,01-11-2013,50,11.7,1.7,5.6
41.6065,-93.6956,01-12-2013,5,3.9,-7.2,-2.1
41.6065,-93.6956,01-12-2013,10,3.9,-0.6,0.3
41.6065,-93.6956,01-12-2013,50,3.9,-0.6,0.4
41.6065,-93.6956,01-01-2014,5,0,-12.2,-3.9
41.6065,-93.6956,01-01-2014,10,-0.6,-3.9,-1.2
