gbifID,species,decimalLatitude,decimalLongitude,day,month,year,rain,temp,soil_temp,optical_thickness,transmission_percent
2426914797,Lepus californicus,40.75,-73.87,18,5,2012,116.2,19,20.5,0.1642,84.85722904
2426860642,Lepus californicus,40.75,-73.87,18,5,2012,116.2,19,20.5,0.1642,84.85722904
2426847467,Lepus californicus,40.75,-73.87,18,5,2012,116.2,19,20.5,0.1642,84.85722904
2426822938,Lepus californicus,40.75,-73.87,18,5,2012,116.2,19,20.5,0.1642,84.85722904
2423243328,Lepus californicus,34.02862,-116.152294,23,9,2019,5.2,24.4,27.1,2.790197412,6.140908985
2423242198,Lepus californicus,40.173257,-112.428775,15,5,2019,99.6,11.5,10.6,0.075564104,92.72202898
2423241676,Lepus californicus,33.734484,-115.797127,25,9,2019,5.2,24.4,27.1,2.790197412,6.140908985
2423241099,Lepus californicus,34.02862,-116.152294,23,9,2019,5.2,24.4,27.1,2.790197412,6.140908985
2423237750,Lepus californicus,32.714453,-116.531512,25,9,2019,5.2,24.4,27.1,2.790197412,6.140908985
2423218297,Lepus californicus,31.759942,-106.400253,23,9,2019,25.3,26.8,27.1,-0.0327,101
2423217610,Lepus californicus,32.587819,-107.974144,20,7,2019,47.9,24.6,27.5,0.136264386,87.26118956
2423208555,Lepus californicus,38.543542,-121.726892,23,9,2019,2.3,22.4,27.1,0.124577655,88.28696991
2423203862,Lepus californicus,32.583242,-107.968453,20,7,2019,47.9,24.6,27.5,0.136264386,87.26118956
2423203310,Lepus californicus,38.63434,-122.933612,19,8,2018,1.8,15.2,20,0.12985706,87.82209549
2423203075,Lepus californicus,38.343581,-122.594448,14,9,2019,2.3,22.4,27.1,0.124577655,88.28696991
2423200950,Lepus californicus,38.782483,-122.91726,5,5,2019,35.1,17.6,10.6,0.120591814,88.63956999
2423198983,Lepus americanus,63.730899,-148.917146,11,9,2019,33.3,15.7,24.3,0.160055485,85.20965091
2423196749,Lepus californicus,31.290128,-101.24077,22,9,2019,25.3,26.8,27.1,0.3176,72.78938877
2423191984,Lepus californicus,37.613805,-122.129762,21,9,2019,2.3,22.4,27.1,0.124577655,88.28696991
2423191892,Lepus californicus,38.000928,-122.539192,22,9,2019,2.3,22.4,27.1,0.124577655,88.28696991
2423181754,Lepus californicus,30.809289,-103.873023,6,9,2019,25.3,26.8,27.1,-0.0327,101
2423168963,Lepus californicus,38.208618,-122.026472,30,12,2018,98.7,10.4,7.5,0.035886025,96.47502444
2423155049,Lepus californicus,38.029516,-122.515057,19,9,2019,2.3,22.4,27.1,0.124577655,88.28696991
2423152233,Lepus californicus,33.821624,-98.460811,4,8,2019,170.9,29.9,27.1,0.112456524,89.36361983
2423149766,Lepus californicus,30.542838,-104.289162,5,9,2019,25.3,26.8,27.1,-0.0327,101
2423147240,Lepus californicus,33.984077,-116.149811,16,9,2019,5.2,24.4,27.1,2.790197412,6.140908985
2423143072,Lepus californicus,32.115002,-104.453522,3,6,2019,42.8,26.2,24.5,0.136693037,87.223793
2423127107,Lepus californicus,38.663602,-121.719089,17,9,2019,2.3,22.4,27.1,0.124577655,88.28696991
2423114915,Lepus californicus,37.882016,-122.456061,16,9,2019,2.3,22.4,27.1,0.124577655,88.28696991
2423110230,Lepus californicus,27.466613,-97.30913,16,9,2019,184.5,27.6,27.1,-0.0327,101
2423102308,Lepus townsendii,37.205142,-118.521338,14,9,2019,2.3,22.4,27.1,0.124577655,88.28696991
2423101962,Lepus californicus,28.676879,-99.956834,14,9,2019,184.5,27.6,27.1,-0.0327,101
2423095366,Lepus californicus,32.77433,-97.7948,15,9,2019,184.5,28.7,27.1,0.2453,78.24697621
2423094003,Lepus californicus,34.016945,-116.163055,14,9,2019,5.2,24.4,27.1,2.790197412,6.140908985
2423092085,Lepus townsendii,37.790497,-119.189346,12,9,2019,2.3,22.4,27.1,0.124577655,88.28696991
2423088354,Lepus californicus,33.601762,-101.908326,14,9,2019,25.3,26.8,27.1,0.2453,78.24697621
2423084239,Lepus californicus,37.505135,-118.412528,11,7,2019,0,23.5,27.5,0.119081431,88.77355089
2423077261,Lepus californicus,38.342319,-122.601832,28,11,2018,80.3,13.2,2.7,0.083556858,91.98387846
2423076857,Lepus californicus,38.342319,-122.601832,24,12,2018,98.7,10.4,7.5,0.035886025,96.47502444
2423061417,Lepus californicus,30.965823,-103.71225,13,9,2019,25.3,26.8,27.1,-0.0327,101
2423047888,Lepus californicus,28.354066,-99.254152,11,9,2019,184.5,27.6,27.1,-0.0327,101
2423029564,Lepus californicus,37.586037,-122.315541,11,9,2019,2.3,22.4,27.1,0.124577655,88.28696991
2423021169,Lepus californicus,30.81498,-103.866414,6,9,2019,25.3,26.8,27.1,-0.0327,101
2423018975,Lepus californicus,30.543028,-104.286044,5,9,2019,25.3,26.8,27.1,-0.0327,101
2423010501,Lepus californicus,32.695157,-116.516583,10,9,2019,5.2,24.4,27.1,2.790197412,6.140908985
2423008420,Lepus californicus,37.40558,-121.955074,10,9,2019,2.3,22.4,27.1,0.124577655,88.28696991
2422997940,Lepus californicus,41.158321,-104.918852,9,9,2019,11.8,21,27.1,0.159987105,85.21547775
